"특성(1)",특성(2),2025,2025,2025,2025,2025,2025,2025,2025,2025
"특성(1)",특성(2),사례수 (명),교통사고 (%),추락(낙상) (%),수난사고 (%),화재 및 폭발사고 (%),중독 (%),이물질 삼킴/흡인/질식사고 (%),화상 (%),그 외 기타 생활안전 사고 (%)
"전체",소계,16484,20.2,15.5,9.3,8.2,7.5,7.9,9.1,5.3
"계층별",일반국민,6685,17.8,11.2,8.1,6.8,6.2,6.2,7.3,4.5
"계층별",취약계층,9799,23.6,21.5,11.0,10.2,9.3,10.2,11.8,6.5
"연령층별",13세미만(어린이),2315,25.2,20.8,11.1,7.4,7.6,11.7,11.3,5.1
"연령층별",13~64세,9314,19.1,12.5,8.3,7.9,7.1,6.8,8.4,5.2
"연령층별",65세이상(노인),4855,22.1,23.6,12.1,9.8,9.1,9.8,10.8,6.0
"장애인 여부별",여,2204,31.2,28.2,13.0,15.1,11.5,12.4,15.1,9.1
"장애인 여부별",부,14280,19.6,14.8,9.1,7.8,7.3,7.6,8.8,5.1
"저소득 가구 여부별",여,3252,25.3,21.4,10.3,11.9,10.8,10.5,13.1,8.2
"저소득 가구 여부별",부,13232,19.3,14.4,9.2,7.5,6.9,7.4,8.4,4.8
"성별",남성,7534,20.2,15.0,9.4,7.9,7.5,7.5,9.1,5.3
"성별",여성,8950,20.3,15.8,9.3,8.4,7.5,8.1,9.2,5.3
