"특성(1)",특성(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"특성(1)",특성(2),사례수 (명),도로교통사고 (%),철도사고 (%),항공기 사고 (%),해양사고 (%),화재 (%),산불 (%),환경오염 (%),시설사고 (%),붕괴 (%),다중운집 인파사고 (%),감염병 (%),가축전염병 (%),그 외 기타 사회재난 (%)
"전체",소계,16484,17.8,5.7,5.8,5.3,9.3,7.3,13.8,9.9,8.0,10.6,24.8,4.9,4.0
"계층별",일반국민,6685,15.6,5.0,5.5,4.9,7.4,5.9,12.6,8.3,7.1,9.9,22.5,4.3,3.3
"계층별",취약계층,9799,20.9,6.7,6.3,5.8,11.9,9.2,15.4,12.2,9.2,11.6,28.0,5.8,4.9
"연령층별",13세미만(어린이),2315,22.7,6.3,4.9,4.3,9.2,6.1,15.4,10.7,7.6,11.6,30.0,5.0,4.3
"연령층별",13~64세,9314,16.6,5.5,5.7,5.1,8.5,6.4,13.2,9.2,7.5,10.6,23.4,4.8,3.8
"연령층별",65세이상(노인),4855,20.0,6.1,6.7,6.3,12.3,11.0,15.3,12.0,9.8,10.2,27.4,5.4,4.4
"장애인 여부별",여,2204,26.8,9.6,7.2,7.9,17.8,9.9,19.7,16.4,12.8,14.2,29.0,6.5,7.4
"장애인 여부별",부,14280,17.3,5.5,5.8,5.1,8.8,7.2,13.5,9.5,7.7,10.4,24.6,4.8,3.8
"저소득 가구 여부별",여,3252,21.9,7.2,7.2,6.0,12.4,9.2,16.3,13.9,9.7,13.4,30.0,7.3,5.5
"저소득 가구 여부별",부,13232,17.0,5.4,5.6,5.2,8.7,7.0,13.3,9.2,7.7,10.1,23.8,4.5,3.7
"성별",남성,7534,18.2,6.2,6.1,5.4,9.6,7.7,13.0,9.9,7.9,10.4,25.1,5.3,4.4
"성별",여성,8950,17.5,5.3,5.7,5.2,9.1,7.0,14.4,9.9,8.0,10.8,24.6,4.6,3.7
